Date,Make,Style,Model,Color,Plate,State,Address,Tow Facility Phone,Inventory Number
09/09/2015,ACUR,4D,,SIL,CHAPS,IL,400 E. Lower Wacker,(312) 744-7550,934061
09/09/2015,BMW,4D,,BLK,S449440,IL,701 N. Sacramento,(773) 265-7605,6826416
09/09/2015,CHEV,2D,,SIL,S778186,IL,10300 S. Doty,(773) 568-8495,2772061
09/09/2015,CHEV,2D,,BLK,V148402,IL,701 N. Sacramento,(773) 265-7605,6826409
09/09/2015,CHEV,4D,,GRY,S928459,IL,701 N. Sacramento,(773) 265-7605,6826435
09/09/2015,CHEV,4D,,TAN,D821RF,IN,400 E. Lower Wacker,(312) 744-7550,934044
09/09/2015,CHEV,4D,,MAR,548XRG,WI,701 N. Sacramento,(773) 265-7605,6826406
09/09/2015,CHEV,4D,,BLK,E689701,IL,701 N. Sacramento,(773) 265-7605,6826407
09/09/2015,CHEV,4D,,WHI,359S314,IL,10300 S. Doty,(773) 568-8495,2772070
09/09/2015,CHEV,LL,TAH,BLK,E484055,IL,10300 S. Doty,(773) 568-8495,2772053
09/09/2015,CHEV,PK,,GRN,130309FB,IL,701 N. Sacramento,(773) 265-7605,6826424
09/09/2015,CHEV,PK,,WHI,109S971,IL,10300 S. Doty,(773) 568-8495,2772064
09/09/2015,CHEV,VN,,TAN,183PNV,MN,10300 S. Doty,(773) 568-8495,2772063
09/09/2015,CHRY,2D,,BLK,S812766,IL,10300 S. Doty,(773) 568-8495,2772069
09/09/2015,CHRY,4D,,BLU,V603201,IL,10300 S. Doty,(773) 568-8495,2772057
09/09/2015,CHRY,4D,,RED,R692474,IL,701 N. Sacramento,(773) 265-7605,6826419
09/09/2015,CHRY,4D,,BLK,V258104,IL,10300 S. Doty,(773) 568-8495,2772059
09/09/2015,CHRY,4D,,GRY,Y832547,IL,701 N. Sacramento,(773) 265-7605,6826431
09/09/2015,CHRY,4D,,BLK,Y759735,IL,701 N. Sacramento,(773) 265-7605,6826414
09/09/2015,CHRY,LL,,RED,E526223,IL,10300 S. Doty,(773) 785-9752,1715473
09/09/2015,DODG,4D,,GRY,Y732958,IL,10300 S. Doty,(773) 568-8495,2772065
09/09/2015,DODG,PK,,BLK,GAU2326,NY,701 N. Sacramento,(773) 265-7605,6826402
09/09/2015,FORD,4D,,WHI,8J1034,MI,400 E. Lower Wacker,(312) 744-7550,934068
09/09/2015,FORD,LL,,RED,E357757,IL,10300 S. Doty,(773) 568-8495,2772066
09/09/2015,FORD,LL,,GRY,2LGJ09,IL,701 N. Sacramento,(773) 265-7605,6826430
09/09/2015,FORD,LL,,GRY,9855049,IL,400 E. Lower Wacker,(312) 744-7550,934052
09/09/2015,GMC,LL,,WHI,E571607,IL,701 N. Sacramento,(773) 265-7605,6826411
09/09/2015,HOND,2D,,SIL,V504598,IL,701 N. Sacramento,(773) 265-7605,6826444
